Število povezav,najvecja dovoljena utez,najmanjsa dovoljena utez,Graf,Dolžina najdaljše poti med prvim in zadnjim vozliscem,Čas
27,8,1,"{0: {1: 5, 3: 1, 4: 2, 5: 5, 6: 3}, 1: {2: 2, 5: 6, 6: 3, 7: 5}, 2: {3: 8, 4: 2, 5: 8, 6: 6, 8: 5}, 3: {4: 6, 5: 4, 9: 8}, 4: {5: 8, 6: 7, 7: 2, 8: 3}, 5: {6: 7, 7: 4}, 6: {7: 6}, 7: {8: 5}, 8: {9: 7}, 9: {10: 7}}",54,3.814697265625e-05
26,8,1,"{0: {1: 8, 5: 6}, 1: {2: 8, 5: 4, 7: 7, 8: 5}, 2: {3: 6, 5: 1, 6: 7, 7: 1}, 3: {4: 7, 5: 7, 8: 7, 9: 1}, 4: {5: 8, 8: 7, 9: 7}, 5: {6: 1, 7: 5, 8: 4, 9: 6}, 6: {7: 2}, 7: {8: 8, 9: 4}, 8: {9: 7}, 9: {10: 1}}",57,2.6226043701171875e-05
26,8,1,"{0: {1: 3, 2: 1, 5: 6, 8: 1, 9: 6}, 1: {2: 4, 7: 4}, 2: {3: 1, 5: 3, 7: 3, 8: 4}, 3: {4: 3, 5: 5, 6: 4}, 4: {5: 6, 6: 4}, 5: {6: 7, 7: 3, 8: 4, 9: 8}, 6: {7: 6, 9: 6}, 7: {8: 4, 9: 1}, 8: {9: 2}, 9: {10: 2}}",36,2.5033950805664062e-05
25,8,1,"{0: {1: 6, 4: 4, 7: 5}, 1: {2: 4, 6: 4, 7: 4}, 2: {3: 8, 5: 8, 7: 5, 9: 6}, 3: {4: 8, 5: 7, 6: 2}, 4: {5: 8, 7: 4, 8: 3}, 5: {6: 6, 7: 7, 9: 5}, 6: {7: 7, 8: 2, 9: 5}, 7: {8: 6}, 8: {9: 2}, 9: {10: 2}}",55,2.288818359375e-05
31,8,1,"{0: {1: 6, 2: 3, 3: 3, 4: 7, 6: 8, 7: 3}, 1: {2: 3, 3: 8, 6: 1, 7: 3}, 2: {3: 3, 5: 8, 6: 3, 7: 5, 8: 3, 9: 4}, 3: {4: 4, 5: 6, 6: 2, 8: 2}, 4: {5: 1, 8: 1}, 5: {6: 7, 7: 4, 8: 2}, 6: {7: 6, 8: 6}, 7: {8: 4, 9: 5}, 8: {9: 7}, 9: {10: 2}}",44,2.6941299438476562e-05
26,8,1,"{0: {1: 3, 2: 5, 3: 3, 5: 2, 8: 5}, 1: {2: 7, 3: 2, 6: 2}, 2: {3: 5, 5: 7, 6: 1, 7: 8}, 3: {4: 8, 6: 1, 9: 5}, 4: {5: 1, 7: 7, 8: 5}, 5: {6: 6, 7: 6, 8: 6}, 6: {7: 1, 9: 3}, 7: {8: 7}, 8: {9: 6}, 9: {10: 3}}",44,2.4080276489257812e-05
32,8,1,"{0: {1: 8, 3: 8, 4: 1, 8: 2}, 1: {2: 7, 3: 2, 5: 5, 6: 2, 7: 7, 8: 2}, 2: {3: 7, 5: 8, 6: 4, 7: 5, 9: 8}, 3: {4: 3, 5: 2, 7: 1}, 4: {5: 5, 6: 6, 8: 4}, 5: {6: 8, 7: 6, 8: 4, 9: 3}, 6: {7: 2, 8: 2, 9: 5}, 7: {8: 2, 9: 1}, 8: {9: 2}, 9: {10: 1}}",44,2.5987625122070312e-05
27,8,1,"{0: {1: 2, 2: 8, 3: 2, 4: 6, 5: 6, 7: 4}, 1: {2: 2, 7: 6, 9: 3}, 2: {3: 4, 5: 4, 9: 4}, 3: {4: 8, 5: 2, 6: 6, 7: 2, 8: 7, 9: 4}, 4: {5: 2}, 5: {6: 6}, 6: {7: 2, 8: 4, 9: 3}, 7: {8: 3, 9: 7}, 8: {9: 7}, 9: {10: 6}}",40,3.0994415283203125e-05
29,8,1,"{0: {1: 2, 2: 1, 3: 3, 7: 3, 8: 1}, 1: {2: 5, 4: 2, 5: 2, 6: 3, 8: 3, 9: 4}, 2: {3: 8, 7: 8, 9: 3}, 3: {4: 3, 5: 2, 6: 5, 7: 5, 8: 3}, 4: {5: 5, 8: 2, 9: 4}, 5: {6: 7, 7: 8}, 6: {7: 1, 8: 3}, 7: {8: 2}, 8: {9: 5}, 9: {10: 3}}",38,2.5987625122070312e-05
25,8,1,"{0: {1: 6, 2: 1, 3: 7, 8: 2}, 1: {2: 6, 3: 7, 5: 2, 6: 7, 8: 8}, 2: {3: 4, 6: 8, 7: 3, 8: 2}, 3: {4: 1, 7: 7}, 4: {5: 5, 7: 5, 9: 7}, 5: {6: 7}, 6: {7: 8, 8: 2, 9: 8}, 7: {8: 5}, 8: {9: 2}, 9: {10: 5}}",44,2.4080276489257812e-05
