Število povezav,Graf,Število ponovitev,Dolžina najdaljše poti - Color coding,Čas,Dolžina najdaljše poti - DFS,Čas
34,"{0: [1, 2, 5, 6, 7], 1: [0, 3, 5, 7], 2: [0, 1, 3, 5, 7], 3: [0, 1, 2, 4, 5, 7], 4: [5, 6, 7], 5: [0, 3, 4, 6], 6: [2, 4, 5, 7], 7: [0, 2, 5]}",401,8,24.646721124649048,8,0.00615692138671875
34,"{0: [1, 2, 5, 6, 7], 1: [0, 3, 5, 7], 2: [0, 1, 3, 5, 7], 3: [0, 1, 2, 4, 5, 7], 4: [5, 6, 7], 5: [0, 3, 4, 6], 6: [2, 4, 5, 7], 7: [0, 2, 5]}",421,8,25.478302001953125,8,0.00615692138671875
34,"{0: [1, 2, 5, 6, 7], 1: [0, 3, 5, 7], 2: [0, 1, 3, 5, 7], 3: [0, 1, 2, 4, 5, 7], 4: [5, 6, 7], 5: [0, 3, 4, 6], 6: [2, 4, 5, 7], 7: [0, 2, 5]}",441,7,26.54574704170227,8,0.00615692138671875
34,"{0: [1, 2, 5, 6, 7], 1: [0, 3, 5, 7], 2: [0, 1, 3, 5, 7], 3: [0, 1, 2, 4, 5, 7], 4: [5, 6, 7], 5: [0, 3, 4, 6], 6: [2, 4, 5, 7], 7: [0, 2, 5]}",461,8,27.740944147109985,8,0.00615692138671875
34,"{0: [1, 2, 5, 6, 7], 1: [0, 3, 5, 7], 2: [0, 1, 3, 5, 7], 3: [0, 1, 2, 4, 5, 7], 4: [5, 6, 7], 5: [0, 3, 4, 6], 6: [2, 4, 5, 7], 7: [0, 2, 5]}",481,8,29.235957145690918,8,0.00615692138671875
34,"{0: [1, 2, 5, 6, 7], 1: [0, 3, 5, 7], 2: [0, 1, 3, 5, 7], 3: [0, 1, 2, 4, 5, 7], 4: [5, 6, 7], 5: [0, 3, 4, 6], 6: [2, 4, 5, 7], 7: [0, 2, 5]}",501,8,31.595192909240723,8,0.00615692138671875
34,"{0: [1, 2, 5, 6, 7], 1: [0, 3, 5, 7], 2: [0, 1, 3, 5, 7], 3: [0, 1, 2, 4, 5, 7], 4: [5, 6, 7], 5: [0, 3, 4, 6], 6: [2, 4, 5, 7], 7: [0, 2, 5]}",521,7,31.672961950302124,8,0.00615692138671875
34,"{0: [1, 2, 5, 6, 7], 1: [0, 3, 5, 7], 2: [0, 1, 3, 5, 7], 3: [0, 1, 2, 4, 5, 7], 4: [5, 6, 7], 5: [0, 3, 4, 6], 6: [2, 4, 5, 7], 7: [0, 2, 5]}",541,7,32.47162103652954,8,0.00615692138671875
34,"{0: [1, 2, 5, 6, 7], 1: [0, 3, 5, 7], 2: [0, 1, 3, 5, 7], 3: [0, 1, 2, 4, 5, 7], 4: [5, 6, 7], 5: [0, 3, 4, 6], 6: [2, 4, 5, 7], 7: [0, 2, 5]}",561,8,34.91796898841858,8,0.00615692138671875
34,"{0: [1, 2, 5, 6, 7], 1: [0, 3, 5, 7], 2: [0, 1, 3, 5, 7], 3: [0, 1, 2, 4, 5, 7], 4: [5, 6, 7], 5: [0, 3, 4, 6], 6: [2, 4, 5, 7], 7: [0, 2, 5]}",581,7,35.95140480995178,8,0.00615692138671875
34,"{0: [1, 2, 5, 6, 7], 1: [0, 3, 5, 7], 2: [0, 1, 3, 5, 7], 3: [0, 1, 2, 4, 5, 7], 4: [5, 6, 7], 5: [0, 3, 4, 6], 6: [2, 4, 5, 7], 7: [0, 2, 5]}",601,8,36.502352237701416,8,0.00615692138671875
34,"{0: [1, 2, 5, 6, 7], 1: [0, 3, 5, 7], 2: [0, 1, 3, 5, 7], 3: [0, 1, 2, 4, 5, 7], 4: [5, 6, 7], 5: [0, 3, 4, 6], 6: [2, 4, 5, 7], 7: [0, 2, 5]}",621,8,37.21050405502319,8,0.00615692138671875
34,"{0: [1, 2, 5, 6, 7], 1: [0, 3, 5, 7], 2: [0, 1, 3, 5, 7], 3: [0, 1, 2, 4, 5, 7], 4: [5, 6, 7], 5: [0, 3, 4, 6], 6: [2, 4, 5, 7], 7: [0, 2, 5]}",641,7,39.893943786621094,8,0.00615692138671875
34,"{0: [1, 2, 5, 6, 7], 1: [0, 3, 5, 7], 2: [0, 1, 3, 5, 7], 3: [0, 1, 2, 4, 5, 7], 4: [5, 6, 7], 5: [0, 3, 4, 6], 6: [2, 4, 5, 7], 7: [0, 2, 5]}",661,8,40.11641788482666,8,0.00615692138671875
34,"{0: [1, 2, 5, 6, 7], 1: [0, 3, 5, 7], 2: [0, 1, 3, 5, 7], 3: [0, 1, 2, 4, 5, 7], 4: [5, 6, 7], 5: [0, 3, 4, 6], 6: [2, 4, 5, 7], 7: [0, 2, 5]}",681,8,41.00032997131348,8,0.00615692138671875
34,"{0: [1, 2, 5, 6, 7], 1: [0, 3, 5, 7], 2: [0, 1, 3, 5, 7], 3: [0, 1, 2, 4, 5, 7], 4: [5, 6, 7], 5: [0, 3, 4, 6], 6: [2, 4, 5, 7], 7: [0, 2, 5]}",701,8,43.78747582435608,8,0.00615692138671875
34,"{0: [1, 2, 5, 6, 7], 1: [0, 3, 5, 7], 2: [0, 1, 3, 5, 7], 3: [0, 1, 2, 4, 5, 7], 4: [5, 6, 7], 5: [0, 3, 4, 6], 6: [2, 4, 5, 7], 7: [0, 2, 5]}",721,8,43.45431113243103,8,0.00615692138671875
34,"{0: [1, 2, 5, 6, 7], 1: [0, 3, 5, 7], 2: [0, 1, 3, 5, 7], 3: [0, 1, 2, 4, 5, 7], 4: [5, 6, 7], 5: [0, 3, 4, 6], 6: [2, 4, 5, 7], 7: [0, 2, 5]}",741,7,45.61230707168579,8,0.00615692138671875
34,"{0: [1, 2, 5, 6, 7], 1: [0, 3, 5, 7], 2: [0, 1, 3, 5, 7], 3: [0, 1, 2, 4, 5, 7], 4: [5, 6, 7], 5: [0, 3, 4, 6], 6: [2, 4, 5, 7], 7: [0, 2, 5]}",761,8,47.924983978271484,8,0.00615692138671875
34,"{0: [1, 2, 5, 6, 7], 1: [0, 3, 5, 7], 2: [0, 1, 3, 5, 7], 3: [0, 1, 2, 4, 5, 7], 4: [5, 6, 7], 5: [0, 3, 4, 6], 6: [2, 4, 5, 7], 7: [0, 2, 5]}",781,7,47.39733386039734,8,0.00615692138671875
34,"{0: [1, 2, 5, 6, 7], 1: [0, 3, 5, 7], 2: [0, 1, 3, 5, 7], 3: [0, 1, 2, 4, 5, 7], 4: [5, 6, 7], 5: [0, 3, 4, 6], 6: [2, 4, 5, 7], 7: [0, 2, 5]}",801,7,48.83355975151062,8,0.00615692138671875
34,"{0: [1, 2, 5, 6, 7], 1: [0, 3, 5, 7], 2: [0, 1, 3, 5, 7], 3: [0, 1, 2, 4, 5, 7], 4: [5, 6, 7], 5: [0, 3, 4, 6], 6: [2, 4, 5, 7], 7: [0, 2, 5]}",821,8,52.20922589302063,8,0.00615692138671875
34,"{0: [1, 2, 5, 6, 7], 1: [0, 3, 5, 7], 2: [0, 1, 3, 5, 7], 3: [0, 1, 2, 4, 5, 7], 4: [5, 6, 7], 5: [0, 3, 4, 6], 6: [2, 4, 5, 7], 7: [0, 2, 5]}",841,8,50.91967415809631,8,0.00615692138671875
34,"{0: [1, 2, 5, 6, 7], 1: [0, 3, 5, 7], 2: [0, 1, 3, 5, 7], 3: [0, 1, 2, 4, 5, 7], 4: [5, 6, 7], 5: [0, 3, 4, 6], 6: [2, 4, 5, 7], 7: [0, 2, 5]}",861,8,52.18276405334473,8,0.00615692138671875
34,"{0: [1, 2, 5, 6, 7], 1: [0, 3, 5, 7], 2: [0, 1, 3, 5, 7], 3: [0, 1, 2, 4, 5, 7], 4: [5, 6, 7], 5: [0, 3, 4, 6], 6: [2, 4, 5, 7], 7: [0, 2, 5]}",881,8,54.12706685066223,8,0.00615692138671875
34,"{0: [1, 2, 5, 6, 7], 1: [0, 3, 5, 7], 2: [0, 1, 3, 5, 7], 3: [0, 1, 2, 4, 5, 7], 4: [5, 6, 7], 5: [0, 3, 4, 6], 6: [2, 4, 5, 7], 7: [0, 2, 5]}",901,8,55.05512499809265,8,0.00615692138671875
34,"{0: [1, 2, 5, 6, 7], 1: [0, 3, 5, 7], 2: [0, 1, 3, 5, 7], 3: [0, 1, 2, 4, 5, 7], 4: [5, 6, 7], 5: [0, 3, 4, 6], 6: [2, 4, 5, 7], 7: [0, 2, 5]}",921,8,73.67396974563599,8,0.00615692138671875
34,"{0: [1, 2, 5, 6, 7], 1: [0, 3, 5, 7], 2: [0, 1, 3, 5, 7], 3: [0, 1, 2, 4, 5, 7], 4: [5, 6, 7], 5: [0, 3, 4, 6], 6: [2, 4, 5, 7], 7: [0, 2, 5]}",941,8,73.804927110672,8,0.00615692138671875
34,"{0: [1, 2, 5, 6, 7], 1: [0, 3, 5, 7], 2: [0, 1, 3, 5, 7], 3: [0, 1, 2, 4, 5, 7], 4: [5, 6, 7], 5: [0, 3, 4, 6], 6: [2, 4, 5, 7], 7: [0, 2, 5]}",961,8,63.20486307144165,8,0.00615692138671875
34,"{0: [1, 2, 5, 6, 7], 1: [0, 3, 5, 7], 2: [0, 1, 3, 5, 7], 3: [0, 1, 2, 4, 5, 7], 4: [5, 6, 7], 5: [0, 3, 4, 6], 6: [2, 4, 5, 7], 7: [0, 2, 5]}",981,8,62.10045123100281,8,0.00615692138671875
